3/3/23 12:47:00 PM | neil | https://open.spotify.com/album/1DJ5jL2YvtMlR18u0CzMNn?si=cLOjnSYDTEOinvl4zIL8aQ | album
3/5/23 12:35:17 PM | ferg | https://open.spotify.com/album/2VxdEUw21Rja03utVzq6gM?si=INSlXxMPTxu0lpwToL4Tmw | album
3/7/23 2:53:21 PM | dave | https://open.spotify.com/album/4ajtfXfaqumfNlJDTVjhOd?si=m1qlJXUkQBWpMPsCHhBPSQ | album
3/10/23 10:03:07 AM | ferg | https://open.spotify.com/album/6CmlLROLOUJZnZ8QeCCpqD?si=htHR6nM8TWm1lN8To8svzw&app_destination=copy-link | album
3/17/23 6:43:52 PM | dave | https://open.spotify.com/album/22UE2Lc7VdTqbkGmNBtMDu?si=uO9Dr7QjRsmMVlnCgSEm2Q | album
3/19/23 2:14:01 PM | ferg | https://open.spotify.com/album/32UJ8XJogn6T8JSENLETMS?si=2TZN-FjaTTyVGBIMweqmBw | album
3/24/23 12:25:59 PM | ferg | https://open.spotify.com/album/2odEfKOviFnSdftg4OYbdp?si=LdfODxgDQjq1eV8op611Eg | album
3/26/23 2:39:58 PM | dave | https://open.spotify.com/album/2CegSVMbZ18cUUUBAhpesV?si=pY9PNADzR7OWzaeQQ7YIYQ | album
4/2/23 3:04:38 PM | ferg | https://open.spotify.com/album/6Hh2XrY2Yuse8omAzSabdp?si=OlpYt1oLTdO8s8hZiRdGdQ&dd=1 | album
4/2/23 5:34:04 PM | dave | https://open.spotify.com/album/04Drel0MRTcZbVAmEe23JT?si=8vM-b7jtReu9JC-hU0KJUQ | album
4/7/23 4:47:23 PM | dave | https://open.spotify.com/album/2XS5McKf3zdJWpcZ4OkZPZ?si=P4FucxmQTd-cF_d234pPrg | album
4/14/23 11:38:06 AM | dave | https://open.spotify.com/album/4axEKjoWXw9lTXvLPUR3HZ?si=x8gE0OmsSpKYzrqMrXabnA | album
4/17/23 7:07:44 AM | ferg | https://open.spotify.com/album/4qhJwKBr2ksxAUFjfJd3rb?si=EN967BRTRmC2omtTzYWxUQ | album
4/21/23 9:48:25 AM | ferg | https://open.spotify.com/album/2iq3PRryWQOmPx39fTIcz5?si=amjRP1_aQYeL2OS6Wz8S3Q&dd=1 | album
4/22/23 4:59:46 PM | dave | https://open.spotify.com/album/4BPixSafW6063nvkGGHqwM?si=r4Ov8x1yQaelsp8TpWQDfA | album
4/28/23 3:49:32 PM | neil | https://open.spotify.com/album/0RBkIFbQy91qv8Tqja20og?si=c7Mc3Hu9SIG3qSsIg4HJhw&context=spotify%3Aalbum%3A0RBkIFbQy91qv8Tqja20og | album
4/28/23 6:01:24 PM | dave | https://open.spotify.com/album/7Hg9q6P8388DvmZ646nRU1?si=QbPtU27NT7qvoYxmJXDmwQ | album
4/29/23 8:13:40 AM | ferg | https://open.spotify.com/album/7DiOmnVHkYNfyLbK4sHBBc?si=LqwLN-T_Q7OREQdJ1BzN2A | album
5/1/23 8:46:10 AM | rory | https://open.spotify.com/album/6jegEIB9gDoeF6BaAqrZfw?si=uLEDSRhWS5OkabotFLHXOA&context=spotify%3Aalbum%3A6jegEIB9gDoeF6BaAqrZfw | album
5/5/23 10:53:33 AM | rory | https://open.spotify.com/album/2RNTBrSO8U8XjjEj9RVvZ5?si=f5cVxPFYTeO8C_fM0kRA0A&context=spotify%3Aalbum%3A2RNTBrSO8U8XjjEj9RVvZ5 | album
5/5/23 1:38:57 PM | neil | https://open.spotify.com/album/3sn2iNNoTZYSU6C0FFZDTt?si=nMWegPMwSBmd_L2EH3UnLg&context=spotify%3Aalbum%3A3sn2iNNoTZYSU6C0FFZDTt | album
5/7/23 9:04:58 PM | dave | https://open.spotify.com/album/0FAWcffpYAfrKGmv9yxd2J?si=AapnhDAVSqCI4w0kRYIaXQ | album
5/8/23 12:04:54 PM | ferg | https://open.spotify.com/album/6tOe4eAF8xNhEkl9WyvsE4?si=sCyuDAB8SrqTzcp4IJZqyg | album
5/12/23 10:32:29 AM | ferg | https://open.spotify.com/album/7bGmjO5Cthm1SNOwUhLwKE?si=bUSGRPe5TuCPKs1OaWpuYg | album
5/12/23 12:29:49 PM | rory | https://open.spotify.com/album/50j4Wm1b9hLpSpPIA39Vp9?si=UXUaj14zTTSDnSjgYU3jgg&context=spotify%3Aalbum%3A50j4Wm1b9hLpSpPIA39Vp9 | album
5/12/23 2:29:42 PM | neil | https://open.spotify.com/album/08CyNpU6VJMtGmR7DYjNmQ?si=nVFCI3eXTf2wDkaBlu86CA&context=spotify%3Aalbum%3A08CyNpU6VJMtGmR7DYjNmQ | album
5/15/23 10:07:41 AM | dave | https://open.spotify.com/album/257LTPH3hN3gBFpABmBhNT?si=1izTEpiGSDSD1-WEZjMJuw | album
5/20/23 8:28:30 AM | ferg | https://open.spotify.com/album/1kpZEHpJh4GJ5mYxzaP8WR?si=16aMdcnBRySe9kVfn9e74g | album
5/20/23 8:32:24 AM | neil | https://open.spotify.com/album/3t5PKVYlbYXIiLIRDPPkp4?si=o4X5r2g-Qp-3Y8QVSLs_nw&context=spotify%3Aalbum%3A3t5PKVYlbYXIiLIRDPPkp4 | album
5/21/23 9:49:07 AM | rory | https://open.spotify.com/album/4oMlaPrzjAHEHh26MkR6DB?si=qg-5l4hOTY-v566pyyghKw&context=spotify%3Aalbum%3A4oMlaPrzjAHEHh26MkR6DB | album
5/22/23 8:00:47 PM | dave | https://open.spotify.com/album/5YGnYey5QR9gXmgpxTV6Uw?si=yRXrCfAqQOODeKyLbxjZgg | album
5/26/23 1:29:55 PM | neil | https://open.spotify.com/album/7fpCw6cWxRKJC6T3IOvyOP?si=pib2WCBwSgG-q0pyU13zWw&context=spotify%3Aalbum%3A7fpCw6cWxRKJC6T3IOvyOP | album
5/26/23 3:11:30 PM | rory | https://open.spotify.com/album/2bBRv5VJOPSIHmSMhzfHXm?si=oyqLGxo7QBiKZJdri0fv2A&context=spotify%3Aalbum%3A2bBRv5VJOPSIHmSMhzfHXm | album
5/26/23 3:52:34 PM | dave | https://open.spotify.com/album/0Brb4LmkdvqnO6ZRKUoJiZ?si=bmy7K0IXR66q3lT3vmqLLg | album
5/26/23 4:33:57 PM | ferg | https://open.spotify.com/album/58z5GjZRjt6XIz5GOS0PJh?si=CGhuZLCGQw-6Opb1q_qBxQ | album
6/3/23 2:42:30 AM | rory | https://open.spotify.com/album/7ug0WdvzC2sLXTrtHUwNsj?si=7a0kkoX8Twaf5boRnYrifw&context=spotify%3Aalbum%3A7ug0WdvzC2sLXTrtHUwNsj | album
6/3/23 4:51:42 AM | neil | https://open.spotify.com/album/5FQMRfSunEA660c3dYU2Mx?si=ijC2E3A8T4m_gp2WzEcHuQ&context=spotify%3Aalbum%3A5FQMRfSunEA660c3dYU2Mx | album
6/3/23 11:50:01 AM | ferg | https://open.spotify.com/album/0hdimlCTCms7otJCX9OvqM?si=6MSrUuJKTcqU5KObdg6WzQ | album
6/5/23 9:36:48 AM | dave | https://open.spotify.com/album/1OhcoQdeYqt68I22NWEdF0?si=WY_wYG4URcuRNBYrba5DpA | album
6/9/23 1:36:44 PM | rory | https://open.spotify.com/album/2Yg3Rha1y4PDlIWh5vy6rJ?si=1KmOrTsPSEubKtn3yapKlg&context=spotify%3Aalbum%3A2Yg3Rha1y4PDlIWh5vy6rJ | album
